position_group,rows,mae,rmse,r2,avg_position_score
DB,1974,12.76007891228182,16.64293444659371,0.24373020729016126,49.089513677811546
EDGE,860,16.982584701715457,21.744066483632754,0.18091634830026215,53.694186046511625
IDL,772,15.65263008284132,19.60037587653627,0.18611909284043082,59.54753886010362
IOL,749,17.889867667043166,21.991294449219147,0.15494480537937216,58.454339118825104
LB,1351,15.525734467023364,20.271592509309468,0.22920894871086928,53.202368615840115
OL,110,8.507669357727352,9.190979917582133,-1.5648575046656017,53.17
OT,619,17.083097701367947,21.123935353433197,0.2689225209351376,58.18966074313409
QB,385,25.54132223672184,33.47892860340661,0.1559743602211503,60.03636363636364
RB,1019,12.692446176782392,18.104596203902627,0.2607950137335109,53.39558390579
ST,134,10.329816919052034,11.93641275433952,-0.0034665911144078354,55.202238805970154
TE,561,8.409712695637344,12.756748531856042,0.1322355466230477,59.35490196078431
WR,1221,14.889500092487719,20.41690128519924,0.19248593189569052,54.132268632268634
